"brand","eta_in_minutes","images/0","images/1","images/2","images/3","images/4","images/5","images/6","images/7","images/8","images/9","images/10","images/11","images/12","images/13","images/14","images/15","images/16","images/17","images/18","images/19","images/20","inventory","latitude","location","longitude","merchant_id","merchant_type","mrp","name","offer_text","out_of_stock","price","product_id","product_url","rating_value","search_keyword","timestamp","variant"
"BearHugs",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1779388794911-705.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1779388794911-706.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1779388794911-707.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1779388794911-708.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1779388794911-709.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1779388794911-710.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1779388794911-711.png",,,,,,,,,,,,,,,"6","12.8575579","Sarjapur","77.7864057","46907","express","499","BearHugs Lavender Bentonite Cat Litter","44% OFF","false","279","525659","https://blinkit.com/prn/bearhugs-lavender-bentonite-cat-litter/prid/525659","4.55","cat litter","2026-07-31T06:30:02.743Z","5 kg"
"PurePet",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1780372030572-561.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1780372030572-562.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1780372030572-563.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1780372030572-564.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1780372030572-565.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1780372030572-566.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1780372030572-567.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1780372030572-568.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1780372030572-569.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1780372030572-570.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1780372030572-571.png",,,,,,,,,,,"2","12.8575579","Sarjapur","77.7864057","46907","express","320","PurePet Odor Control Lavender Cat Litter","11% OFF","false","284","555643","https://blinkit.com/prn/purepet-odor-control-lavender-cat-litter/prid/555643","4.68","cat litter","2026-07-31T06:30:02.943Z","5 kg"
"Grain Zero",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774505235071-191.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774505235071-192.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774505235071-193.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774505235071-194.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774505235071-195.png",,,,,,,,,,,,,,,,,"1","12.8575579","Sarjapur","77.7864057","46907","express","2200","Grain Zero Mother & Kitten Dry Cat Food","10% OFF","false","1980","767422","https://blinkit.com/prn/grain-zero-mother-kitten-dry-cat-food/prid/767422",,"cat food","2026-07-31T06:30:03.346Z","7 kg"
"Purple Tails",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1776867536510-339.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1776867536510-340.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1776867536510-341.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1776867536510-342.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1776867536510-343.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1776867536510-344.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1776867536510-345.png",,,,,,,,,,,,,,,"2","12.8575579","Sarjapur","77.7864057","46907","longtail","499","Purple Tails Odour Control Cat Litter (Lavender)","40% OFF","false","299","678542","https://blinkit.com/prn/purple-tails-odour-control-cat-litter-lavender/prid/678542","4.74","cat litter","2026-07-31T06:30:03.445Z","5 kg"
"Temptations",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-446.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-447.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-448.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-449.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-450.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-451.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-452.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-453.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-454.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-455.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-456.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-457.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1782790536049-458.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1770880886166-141.png",,,,,,,,"3","12.8575579","Sarjapur","77.7864057","46907","express","150","Temptations Crunchy Cat Treat - Tasty Chicken Flavour","None","false","143","462462","https://blinkit.com/prn/temptations-crunchy-cat-treat-tasty-chicken-flavour/prid/462462","4.84","cat food","2026-07-31T06:30:04.045Z","85 g"
"Super Pet",,"https://cdn.grofers.com/da/cms-assets/cms/product/ad4fbc2e-ab33-4648-a971-4c039ec2f0c4.png","https://cdn.grofers.com/da/cms-assets/cms/product/ec844706-c17a-4271-a99c-5795636bf63b.png","https://cdn.grofers.com/da/cms-assets/cms/product/9efefa64-cadb-4bc1-9f57-4f4f6e502b29.png","https://cdn.grofers.com/da/cms-assets/cms/product/92660acd-9b84-4bb8-b46d-d9bacc1f4444.png","https://cdn.grofers.com/da/cms-assets/cms/product/c3c74a8a-1544-4be5-9790-02438f9a357c.png","https://cdn.grofers.com/da/cms-assets/cms/product/b68bddae-1652-40cc-b569-b40a7b987f74.png",,,,,,,,,,,,,,,,"7","12.8575579","Sarjapur","77.7864057","46907","longtail","440","Super Pet Cat Litter Tray With Scoop (Grey)","24% OFF","false","331","734815","https://blinkit.com/prn/super-pet-cat-litter-tray-with-scoop-grey/prid/734815","4.61","cat litter","2026-07-31T06:30:04.343Z","1 pc"
"Hipkoo Pets",,"https://cdn.grofers.com/da/cms-assets/cms/product/0007871c-37ea-41a6-a154-220500035d1a.png","https://cdn.grofers.com/da/cms-assets/cms/product/1291d2d6-28c4-451d-a72d-07295cadf311.png","https://cdn.grofers.com/da/cms-assets/cms/product/b36ba430-e0e1-49eb-8858-679fdb29fbbc.png","https://cdn.grofers.com/da/cms-assets/cms/product/364a663a-b0b4-4b83-bcf6-74313c2a5b32.png","https://cdn.grofers.com/da/cms-assets/cms/product/d6474c8f-ffbb-466c-9018-c4f6302ed334.png","https://cdn.grofers.com/da/cms-assets/cms/product/205a2090-6bc5-42cf-a3fa-a8d4c1f0d556.png",,,,,,,,,,,,,,,,"2","12.8575579","Sarjapur","77.7864057","46907","express","900","Hipkoo Pets Natural Cat Litter","51% OFF","false","439","615112","https://blinkit.com/prn/hipkoo-pets-natural-cat-litter/prid/615112","4.56","cat litter","2026-07-31T06:30:04.646Z","2 x 5 kg"
"Hipkoo Pets",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1777963497228-346.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1777963497228-347.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1777963497228-348.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1777963497228-349.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1777963497228-350.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1777963497228-351.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1777963497228-352.png",,,,,,,,,,,,,,,"10","12.8575579","Sarjapur","77.7864057","46907","longtail","450","Hipkoo Pets Cat Litter","44% OFF","false","249","781990","https://blinkit.com/prn/hipkoo-pets-cat-litter/prid/781990","4.59","cat litter","2026-07-31T06:30:04.924Z","5 kg"
"Petcrux",,"https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774944833006-586.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774944833006-587.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774944833006-588.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774944833006-589.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774944833006-590.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774944833006-591.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774944833006-592.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774944833006-593.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774944833006-594.png","https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1774944833006-595.png",,,,,,,,,,,,"3","12.8575579","Sarjapur","77.7864057","46907","longtail","550","Petcrux Smart Clump Cat Litter (Lavender and Lemon)","25% OFF","false","410","522147","https://blinkit.com/prn/petcrux-smart-clump-cat-litter-lavender-and-lemon/prid/522147","4.56","cat litter","2026-07-31T06:30:07.944Z","5 kg"
"Super Pet",,"https://cdn.grofers.com/da/cms-assets/cms/product/42978c59-7084-4419-9e23-b210e690d387.png","https://cdn.grofers.com/da/cms-assets/cms/product/4567e5ba-61c2-4220-b4af-013d40886fc1.png","https://cdn.grofers.com/da/cms-assets/cms/product/a96ade82-f53b-4168-a512-11b1282ba5ba.png","https://cdn.grofers.com/da/cms-assets/cms/product/256038e3-e077-4b46-8eed-97205e1f8312.png","https://cdn.grofers.com/da/cms-assets/cms/product/1e45c9be-39e9-4282-b06a-bb10c359232f.png",,,,,,,,,,,,,,,,,"1","12.8575579","Sarjapur","77.7864057","46907","express","100","Super Pet Cat Litter scooper","41% OFF","false","59","743075","https://blinkit.com/prn/super-pet-cat-litter-scooper/prid/743075","4.76","cat litter","2026-07-31T06:30:08.244Z","1 pc"
